,negative,positive,accuracy,macro avg,weighted avg
precision,0.9556692336714085,0.9699147450935516,0.9626823208621826,0.9627919893824801,0.9627919492549571
recall,0.9703781323237786,0.9549864226881951,0.9626823208621826,0.9626822775059869,0.9626823208621826
f1-score,0.9629675183093868,0.9623926965526638,0.9626823208621826,0.9626801074310253,0.9626801090502142
support,88752.0,88751.0,0.9626823208621826,177503.0,177503.0
